num,Participante,Lugar_admin,Modalidad,Edad,Género,Grupo,Validez,Creencia,ValidezxCreencia,Silogismo,Aceptación,Correctas
68,9,Biología UNC 1°,Resolución Individual,19,F, ,I,I,II,4,1,0
69,9,Biología UNC 1°,Resolución Individual,19,F, ,V,C,VC,5,1,1
70,9,Biología UNC 1°,Resolución Individual,19,F, ,V,I,VI,6,0,0
71,9,Biología UNC 1°,Resolución Individual,19,F, ,I,C,IC,7,1,0
72,9,Biología UNC 1°,Resolución Individual,19,F, ,I,I,II,8,1,0
73,10,Biología UNC 1°,Resolución Individual,32,F, ,V,C,VC,1,1,1
74,10,Biología UNC 1°,Resolución Individual,32,F, ,V,I,VI,2,1,1
75,10,Biología UNC 1°,Resolución Individual,32,F, ,I,C,IC,3,1,0
76,10,Biología UNC 1°,Resolución Individual,32,F, ,I,I,II,4,0,1
77,10,Biología UNC 1°,Resolución Individual,32,F, ,V,C,VC,5,1,1
78,10,Biología UNC 1°,Resolución Individual,32,F, ,V,I,VI,6,1,1
79,10,Biología UNC 1°,Resolución Individual,32,F, ,I,C,IC,7,0,1
80,10,Biología UNC 1°,Resolución Individual,32,F, ,I,I,II,8,0,1
81,11,Biología UNC 1°,Resolución Individual,23,M, ,V,C,VC,1,1,1
82,11,Biología UNC 1°,Resolución Individual,23,M, ,V,I,VI,2,1,1
83,11,Biología UNC 1°,Resolución Individual,23,M, ,I,C,IC,3,0,1
84,11,Biología UNC 1°,Resolución Individual,23,M, ,I,I,II,4,0,1
85,11,Biología UNC 1°,Resolución Individual,23,M, ,V,C,VC,5,1,1
86,11,Biología UNC 1°,Resolución Individual,23,M, ,V,I,VI,6,1,1
87,11,Biología UNC 1°,Resolución Individual,23,M, ,I,C,IC,7,0,1
88,11,Biología UNC 1°,Resolución Individual,23,M, ,I,I,II,8,0,1
89,12,Biología UNC 1°,Resolución Individual,22,M, ,V,C,VC,1,1,1
90,12,Biología UNC 1°,Resolución Individual,22,M, ,V,I,VI,2,1,1
91,12,Biología UNC 1°,Resolución Individual,22,M, ,I,C,IC,3,0,1
92,12,Biología UNC 1°,Resolución Individual,22,M, ,I,I,II,4,0,1
93,12,Biología UNC 1°,Resolución Individual,22,M, ,V,C,VC,5,1,1
94,12,Biología UNC 1°,Resolución Individual,22,M, ,V,I,VI,6,1,1
95,12,Biología UNC 1°,Resolución Individual,22,M, ,I,C,IC,7,0,1
96,12,Biología UNC 1°,Resolución Individual,22,M, ,I,I,II,8,0,1
97,13,Biología UNC 1°,Resolución Individual,19,O, ,V,C,VC,1,1,1
98,13,Biología UNC 1°,Resolución Individual,19,O, ,V,I,VI,2,1,1
99,13,Biología UNC 1°,Resolución Individual,19,O, ,I,C,IC,3,0,1
100,13,Biología UNC 1°,Resolución Individual,19,O, ,I,I,II,4,0,1
101,13,Biología UNC 1°,Resolución Individual,19,O, ,V,C,VC,5,1,1
102,13,Biología UNC 1°,Resolución Individual,19,O, ,V,I,VI,6,1,1
103,13,Biología UNC 1°,Resolución Individual,19,O, ,I,C,IC,7,1,0
104,13,Biología UNC 1°,Resolución Individual,19,O, ,I,I,II,8,1,0
105,14,Biología UNC 1°,Resolución Individual,36,F, ,V,C,VC,1,0,0
106,14,Biología UNC 1°,Resolución Individual,36,F, ,V,I,VI,2,0,0
107,14,Biología UNC 1°,Resolución Individual,36,F, ,I,C,IC,3,0,1
108,14,Biología UNC 1°,Resolución Individual,36,F, ,I,I,II,4,0,1
109,14,Biología UNC 1°,Resolución Individual,36,F, ,V,C,VC,5,1,1
110,14,Biología UNC 1°,Resolución Individual,36,F, ,V,I,VI,6,1,1
111,14,Biología UNC 1°,Resolución Individual,36,F, ,I,C,IC,7,0,1
112,14,Biología UNC 1°,Resolución Individual,36,F, ,I,I,II,8,0,1
113,15,Biología UNC 1°,Resolución Individual,19,F, ,V,C,VC,1,1,1
114,15,Biología UNC 1°,Resolución Individual,19,F, ,V,I,VI,2,1,1
115,15,Biología UNC 1°,Resolución Individual,19,F, ,I,C,IC,3,0,1
116,15,Biología UNC 1°,Resolución Individual,19,F, ,I,I,II,4,0,1
117,15,Biología UNC 1°,Resolución Individual,19,F, ,V,C,VC,5,1,1
118,15,Biología UNC 1°,Resolución Individual,19,F, ,V,I,VI,6,1,1
119,15,Biología UNC 1°,Resolución Individual,19,F, ,I,C,IC,7,0,1
120,15,Biología UNC 1°,Resolución Individual,19,F, ,I,I,II,8,0,1
121,16,Biología UNC 1°,Resolución Individual,47,F, ,V,C,VC,1,1,1
122,16,Biología UNC 1°,Resolución Individual,47,F, ,V,I,VI,2,0,0
123,16,Biología UNC 1°,Resolución Individual,47,F, ,I,C,IC,3,1,0
124,16,Biología UNC 1°,Resolución Individual,47,F, ,I,I,II,4,0,1
125,16,Biología UNC 1°,Resolución Individual,47,F, ,V,C,VC,5,1,1
126,16,Biología UNC 1°,Resolución Individual,47,F, ,V,I,VI,6,1,1
127,16,Biología UNC 1°,Resolución Individual,47,F, ,I,C,IC,7,0,1
128,16,Biología UNC 1°,Resolución Individual,47,F, ,I,I,II,8,1,0
129,17,Biología UNC 1°,Resolución Individual,57,F, ,V,C,VC,1,1,1
130,17,Biología UNC 1°,Resolución Individual,57,F, ,V,I,VI,2,0,0
131,17,Biología UNC 1°,Resolución Individual,57,F, ,I,C,IC,3,0,1
132,17,Biología UNC 1°,Resolución Individual,57,F, ,I,I,II,4,0,1
133,17,Biología UNC 1°,Resolución Individual,57,F, ,V,C,VC,5,1,1
134,17,Biología UNC 1°,Resolución Individual,57,F, ,V,I,VI,6,0,0
135,17,Biología UNC 1°,Resolución Individual,57,F, ,I,C,IC,7,0,1
136,17,Biología UNC 1°,Resolución Individual,57,F, ,I,I,II,8,0,1
137,18,Biología UNC 1°,Resolución Individual,18,F, ,V,C,VC,1,1,1
138,18,Biología UNC 1°,Resolución Individual,18,F, ,V,I,VI,2,1,1
139,18,Biología UNC 1°,Resolución Individual,18,F, ,I,C,IC,3,1,0
